"series","date.aired","environment","culprit.gender","motive"
"Scooby-Doo and Guess Who?",2020-10-01,"Urban","Female","Theft"
"Scooby-Doo and Guess Who?",2020-10-01,"Snow","Male","Natural Resource"
"Scooby-Doo and Guess Who?",2020-10-01,"Mountain","Male","Treasure"
"Scooby-Doo and Guess Who?",2020-10-01,"Urban","Male","Treasure"
"Scooby-Doo and Guess Who?",2020-10-01,"Rural","Male","Treasure"
"Scooby-Doo and Guess Who?",2020-10-01,"Urban","Male","Entertainment"
"Scooby-Doo and Guess Who?",2020-10-01,"Urban","Male","Entertainment"
"Scooby-Doo and Guess Who?",2020-10-01,"Urban","Female","Theft"
"Scooby-Doo and Guess Who?",2021-02-25,"Desert","Female","Treasure"
"Scooby-Doo and Guess Who?",2021-02-25,"Desert","Male","Treasure"
"Scooby-Doo and Guess Who?",2021-02-25,"Desert","Male","Treasure"
"Scooby-Doo and Guess Who?",2020-11-13,"Urban","Male","Competition"
